住所コード,市区町村名,大字名,字丁目名,街区,地番_戸番,建物名,階数,建物分類,総部屋数,目標物数,個人の家屋数,事業所数,空き部屋数,その他数,目標物比率,個人の家屋比率,事業所比率,空き部屋比率,その他比率,面積,延床面積,目標物総面積,目標物平均面積,個人の家屋総面積,個人の家屋平均面積,空き部屋総面積,空き部屋平均面積,事業所総面積,事業所平均面積,その他総面積,その他平均面積,飲食件数,物販_食品_件数,物販_衣料_件数,物販_日用雑貨_件数,サービス_レンタル_件数,サービス_冠婚葬祭_件数,サービス_生活関連_件数,サービス_自動車_件数,サービス_その他_件数,量販店件数,金融_保険件数,不動産件数,インフラ件数,専門職件数,スポーツ施設件数,娯楽件数,ホテル_旅館件数,医療_福祉件数,公共件数,教育件数,宅配_引越_郵便件数,運輸件数,建設_設備件数,自動車関連件数,協同組合件数,宗教関連件数,一般業件数,経度,緯度,部屋数推定フラグ,地域冷暖房フラグ,地域冷暖房計画区域
13102,中央区,築地,５丁目,3,3,築地浜離宮ビル,14,3004,33,1,0,28,0,4,3.03,0,84.85,0,12.12,946.84,15149.44,236.71,236.71,0,0,0,0,11835.5,422.7,3077.23,769.31,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,139.7661736,35.6634517,0,,
13102,中央区,築地,５丁目,3,1,東京国税局,10,3004,2,1,0,1,0,0,50,0,50,0,0,4519.15,45191.5,22595.75,22595.75,0,0,0,0,22595.75,22595.75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,139.7660086,35.6646889,0,,
13102,中央区,築地,５丁目,5,12,浜離宮建設プラザ,10,3004,18,1,0,10,0,7,5.56,0,55.56,0,38.89,1311.22,13112.2,437.07,437.07,0,0,0,0,8741.47,874.15,3933.66,561.95,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,139.7649664,35.6634158,0,,
13102,中央区,築地,５丁目,6,10,浜離宮パークサイドプレイス,17,3004,44,0,0,39,0,5,0,0,88.64,0,11.36,1879.25,35705.75,0,0,0,0,0,0,29692.15,761.34,6013.6,1202.72,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,139.7656633,35.6623431,0,,
13102,中央区,築地,５丁目,6,4,浜離宮三井ビルディング,13,3004,28,0,0,23,0,5,0,0,82.14,0,17.86,2228.24,31195.36,0,0,0,0,0,0,22003.87,956.69,9191.49,1838.3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7649378,35.6626681,0,,
13102,中央区,日本橋,１丁目,2,10,東洋ビルディング,9,3003,114,0,1,113,0,0,0,0.88,99.12,0,0,548.69,5486.9,0,0,137.17,137.17,0,0,5349.73,47.34,0,0,3,0,0,0,1,1,0,0,0,0,1,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,2,139.7737267,35.6831519,0,,
13102,中央区,日本橋,１丁目,2,5,榮太樓ビルディング,9,3001,17,1,0,13,0,3,5.88,0,76.47,0,17.65,1821.06,21852.72,1821.06,1821.06,0,0,0,0,15934.28,1225.71,4097.39,1365.8,2,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,139.7734036,35.6834011,0,,
13102,中央区,日本橋,１丁目,2,6,黒江屋国分ビル,9,3001,20,0,0,19,0,1,0,0,95,0,5,667.4,6006.6,0,0,0,0,0,0,5839.75,307.36,166.85,166.85,1,1,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7738381,35.6833628,0,,
13102,中央区,日本橋,１丁目,3,13,東京建物日本橋ビル,13,3001,31,1,0,25,0,5,3.23,0,80.65,0,16.13,1764.3,26464.5,252.04,252.04,0,0,0,0,20331.46,813.26,5881,1176.2,2,0,0,1,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7732536,35.6830186,0,,
13102,中央区,日本橋,１丁目,3,5,（株）三洋販売,13,3004,4,0,0,4,0,0,0,0,100,0,0,726.33,9442.29,0,0,0,0,0,0,9442.29,2360.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7727819,35.6832078,0,,
13102,中央区,日本橋,１丁目,4,1,日本橋一丁目三井ビルディング,19,3004,107,2,0,98,0,7,1.87,0,91.59,0,6.54,4599.19,101182.18,2299.6,1149.8,0,0,0,0,90808.45,926.62,8074.13,1153.45,9,1,4,6,0,0,1,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,139.7746367,35.6825533,0,,
